NB,DRONE (default),DRONE (v2),RF_notune,RF_19-13-1,RF_29-10-1,RF_46-13-1
0.37626117,0.38936158,0.31713136,0.33012354,0.50104629,0.47512433,0.48552455
0.3533676,0.34593904,0.29803788,0.32791844,0.49521308,0.47205031,0.49326894
0.38356035,0.37877096,0.33495278,0.34695209,0.53006434,0.49023329,0.53686782
0.39435304,0.37829851,0.3463231,0.32330449,0.49687998,0.47440332,0.49707824
0.38404702,0.35963716,0.32456526,0.34623047,0.49565959,0.48625381,0.49196095
0.38170572,0.36926964,0.321009,0.32394947,0.48271338,0.46113634,0.49346746
0.3985194,0.36517688,0.33531383,0.32910361,0.49139667,0.46801579,0.49702453
0.38230429,0.35875992,0.32150285,0.33444989,0.48857809,0.47137692,0.50712363
0.38050386,0.37602644,0.34006022,0.32994514,0.49050051,0.48886345,0.48880723
0.37981709,0.36947151,0.34569718,0.33708713,0.50828872,0.46862978,0.50867539
