NB,DRONE (default),DRONE (v2),RF_notune,RF_27-2-1,RF_25-2-1,RF_15-2-1
0.24250706,0.29160962,0.38727939,0.59010544,0.6259226,0.64029641,0.62179651
0.23748368,0.27471471,0.44035731,0.62905163,0.67551744,0.66602287,0.68789266
0.2474075,0.29254413,0.56475065,0.63646017,0.67266089,0.6988871,0.66780836
0.24893606,0.30451532,0.46951645,0.62397257,0.72022718,0.72358011,0.69404058
0.24603366,0.27600449,0.3539769,0.58934367,0.66283891,0.63834292,0.64266981
0.24048433,0.28869275,0.55660483,0.58753932,0.60584364,0.62160652,0.6082016
0.24789263,0.296754,0.48886959,0.60255738,0.69147696,0.65779491,0.62681193
0.24160023,0.27571981,0.56064918,0.63130359,0.6629268,0.65662619,0.60795691
0.24043649,0.29378098,0.43009767,0.59719112,0.65869898,0.62475462,0.61005318
0.24342631,0.28126514,0.55910227,0.60276841,0.63688048,0.64581781,0.61633835
