NB,DRONE (default),DRONE (v2),RF_notune,RF_45-9-3,RF_18-12-2,RF_15-2-4
0.37626117,0.38936158,0.31713136,0.33012354,0.61494277,0.61038279,0.58930262
0.3533676,0.34593904,0.29803788,0.32791844,0.59994523,0.5981353,0.58116908
0.38356035,0.37877096,0.33495278,0.34695209,0.62172995,0.61997906,0.62093723
0.39435304,0.37829851,0.3463231,0.32330449,0.61150166,0.60815045,0.59752479
0.38404702,0.35963716,0.32456526,0.34623047,0.60280921,0.59599686,0.5987051
0.38170572,0.36926964,0.321009,0.32394947,0.60976684,0.60578477,0.60381667
0.3985194,0.36517688,0.33531383,0.32910361,0.61511945,0.60546617,0.60201864
0.38230429,0.35875992,0.32150285,0.33444989,0.62548484,0.60636758,0.60565696
0.38050386,0.37602644,0.34006022,0.32994514,0.61252244,0.60911876,0.60134398
0.37981709,0.36947151,0.34569718,0.33708713,0.60893044,0.59627567,0.59963489
