AUT1,AUT2,AUT3
3,3,715
3,2,126
4,3,255
4,3,2039
4,3,154
3,3,1136
3,3,33
3,3,925
3,3,512
3,3,245
3,3,1212
4,3,980
4,3,1697
4,3,796
3,3,816
4,3,41
3,3,2187
4,3,38
4,3,1359
3,3,82
4,3,410
3,3,71
4,3,796
3,3,592
3,3,120
3,3,58
4,3,40
3,3,2131
3,3,158
3,3,2
3,3,490
3,3,76
4,3,1322
3,3,271
3,3,167
3,3,346
3,3,78
3,3,385
3,3,325
4,3,478
3,3,909
3,3,695
3,3,632
3,3,450
3,3,57
3,3,242
3,3,106
3,3,111
3,3,69
3,3,24
3,3,958
3,3,1080
4,3,1415
4,3,743
4,3,96
3,3,31
3,3,537
4,3,1709
3,3,378
3,3,901
3,3,1106
4,3,1067
4,3,1316
3,3,1019
3,3,377
3,3,799
3,3,132
4,3,373
4,3,975
3,3,183
3,3,736
3,3,1393
3,3,1750
3,3,69
4,3,205
4,3,761
3,3,584
3,3,2014
3,3,1243
3,3,69
3,3,9
3,3,947
3,3,215
4,3,871
4,3,9
3,3,1078
3,3,390
3,3,171
3,3,883
3,3,44
4,3,21
3,3,1205
4,3,167
3,2,178
3,3,205
4,3,2442
4,3,849
4,3,1526
3,3,589
3,3,605
3,3,1718
3,3,441
3,3,65
3,3,1069
3,3,438
4,3,1600
3,3,50
3,3,509
3,3,859
3,3,135
3,3,779
3,3,369
3,3,368
3,3,325
4,3,510
4,3,895
3,3,62
3,2,176
3,3,747
3,3,204
3,3,297
3,3,557
3,3,245
3,3,517
3,3,2490
3,3,90
4,3,2306
3,3,1067
3,3,1326
3,3,869
3,3,435
4,3,38
3,3,1373
3,3,1161
3,3,2017
4,3,1336
4,3,260
3,3,20
4,3,2642
4,3,35
3,3,30
3,3,1004
3,3,180
3,3,415
4,3,726
3,3,1081
3,3,1153
3,3,1037
4,3,967
4,3,283
3,3,1175
4,3,490
4,3,59
3,3,6
3,3,945
3,3,20
3,3,21
3,3,1526
4,3,1408
3,3,1700
3,3,1660
4,3,28
3,2,155
4,3,524
3,3,47
3,3,458
4,3,493
4,3,89
3,3,1731
4,3,853
